sno,ss_id,ss_name,PTR_Capacity,Voltage_Rating,Manufacturer,ManufSerialNo,YoM,Doc
700,276,220/132KV SS Sadasivapet,100,220/132KV,EMCO,HT-01513/12099,2002,16-08-2019
701,277,220/132KV SS Siddipet,100,220/132KV,EMCO,HT1381/11724,1997,03-10-1997
702,277,220/132KV SS Siddipet,160,220/132KV,IMP POWERS LTD,PT76-7613,2015,13-05-2016
703,277,220/132KV SS Siddipet,160,220/132KV,TRANSFORMERS & RECTIFIERS LTD,PM0100461,2025,05-07-2025
704,278,220/132KV SS Sitapuram,100,220/132KV,EMCO,HT1639/12405,2005,19-09-2016
705,278,220/132KV SS Sitapuram,100,220/132KV,APEX TRANSFORMERS LTD,TE-1056/1,1999,10-11-2017
706,279,220/132KV SS Yeddumailaram,160,220/132KV,EMCO,HT 1892/13258,2011,13-01-2012
707,279,220/132KV SS Yeddumailaram,100,220/132KV,BHEL,2005074,2004,16-05-2004
708,279,220/132KV SS Yeddumailaram,160,220/132KV,BTW ATLANTA TRANSFORMERS,201812T01,2019,18-07-2019
709,280,220/132/33KV SS Shapur Nagar,80,132/33KV,BHARAT BIJLEE LTD,5276/8,2012,04-06-2015
710,280,220/132/33KV SS Shapur Nagar,80,132/33KV,TRANSFORMERS & RECTIFIERS LTD,220085,2009,20-01-2010
711,280,220/132/33KV SS Shapur Nagar,160,220/132KV,ABB POWER PRODUCTS AND SYSTEMS,13042-001,2007,15-11-2007
712,280,220/132/33KV SS Shapur Nagar,160,220/132KV,SIEMENS LTD,110002-2,2007,20-07-2008
713,280,220/132/33KV SS Shapur Nagar,160,220/132KV,BHARAT BIJLEE LTD,05471/11,2015,02-03-2016
714,280,220/132/33KV SS Shapur Nagar,80,132/33KV,INDO TECH TRANSFORMERS LTD,ITK-55862,2023,09-08-2023
715,281,220/132/33KV SS Seetharampatnam (Paloncha),50,132/33KV,VOLTAMP TRANSFORMERS LTD,21671/8,2011,22-06-2011
716,281,220/132/33KV SS Seetharampatnam (Paloncha),50,132/33KV,BHARAT BIJLEE LTD,5469/11,2014,02-12-2015
717,281,220/132/33KV SS Seetharampatnam (Paloncha),100,220/132KV,CROMPTON GREAVES LTD,T8449/3,1996,23-11-1996
718,281,220/132/33KV SS Seetharampatnam (Paloncha),100,220/132KV,BHARAT BIJLEE LTD,5590/13,2018,01-12-2018
719,282,220/132/33KV SS Warangal,80,132/33KV,BHARAT BIJLEE LTD,5216/1,2011,03-06-2011
720,282,220/132/33KV SS Warangal,160,220/132KV,EMCO,HT 1892/13262,2011,21-12-2011
721,282,220/132/33KV SS Warangal,160,220/132KV,IMP POWERS LTD,7614,2015,30-05-2016
722,282,220/132/33KV SS Warangal,160,220/132KV,BHARAT BIJLEE LTD,5471/12,2015,06-03-2016
723,282,220/132/33KV SS Warangal,50,132/33KV,ECE INDUSTRIES LIMITED,87950,2025,09-09-2025
724,283,220/132KV SS Ammavaripet,50,132/33KV,TECHNICAL ASSOCIATES LTD,SO-000490,2015,29-12-2022
725,283,220/132KV SS Ammavaripet,100,220/132KV,TRANSFORMERS & RECTIFIERS LTD,PM0100081,2012,10-01-2013
726,283,220/132KV SS Ammavaripet,100,220/132KV,KANOHAR ELECTRICALS LTD,KT-100000/4,2008,31-03-2024
727,283,220/132KV SS Ammavaripet,50,132/33KV,TRANSFORMERS & RECTIFIERS LTD,PC0101731,2023,05-08-2023
728,284,220/132/33KV SS Ashwaropet,31.5,132/33KV,ANDREW YULE,13221,2004,23-12-2015
729,284,220/132/33KV SS Ashwaropet,31.5,132/33KV,EMCO,1236/11280,1989,03-10-2011
730,284,220/132/33KV SS Ashwaropet,100,220/132KV,ALSTOM INSTRUMENT TRANSFORMERS,TSSC-6618/B-29866,2005,28-04-2018
731,284,220/132/33KV SS Ashwaropet,100,220/132KV,CROMPTON GREAVES LTD,24214,1980,31-08-2018
732,285,220/132/33KV SS Banswada,31.5,132/33KV,IMP POWERS LTD,PT-7241,2013,09-01-2014
733,285,220/132/33KV SS Banswada,50,132/33KV,APEX TRANSFORMERS LTD,T-793B/46072,1991,28-12-2017
734,285,220/132/33KV SS Banswada,100,220/132KV,BHARAT BIJLEE LTD,5590/08,2018,26-09-2019
735,285,220/132/33KV SS Banswada,100,220/132KV,BHARAT BIJLEE LTD,5590/19,2018,26-09-2019
736,286,220/132/33KV SS Bhongir,100,220/132KV,T/F ELE KERALA LTD,130137-7,2001,16-04-2016
737,286,220/132/33KV SS Bhongir,50,132/33KV,ECE INDUSTRIES LIMITED,S-86649,2015,16-12-2015
738,286,220/132/33KV SS Bhongir,100,220/132KV,BHEL,2007595,1993,12-03-2024
739,286,220/132/33KV SS Bhongir,100,220/132KV,BHEL,2005072,1989,02-12-2021
740,286,220/132/33KV SS Bhongir,80,132/33KV,TRANSFORMERS & RECTIFIERS LTD,PCO101715,2022,16-05-2023
741,287,220/132/33KV SS Bonguluru (Adibatla),31.5,132/33KV,BHEL,2037966,2013,28-11-1999
742,287,220/132/33KV SS Bonguluru (Adibatla),100,220/132KV,T/F ELE KERALA LTD,130154-2,2006,29-11-2006
743,287,220/132/33KV SS Bonguluru (Adibatla),100,220/132KV,APEX TRANSFORMERS LTD,T-1056/02,1999,25-05-2012
744,287,220/132/33KV SS Bonguluru (Adibatla),50,132/33KV,TOSHIBA,90175A02,2015,01-11-2015
745,288,220/132/33KV SS Chandrayangutta,160,220/132KV,ABB POWER PRODUCTS AND SYSTEMS,13042-004,2007,11-01-2008
746,288,220/132/33KV SS Chandrayangutta,160,220/132KV,ABB POWER PRODUCTS AND SYSTEMS,13042-003,2007,14-02-2010
747,288,220/132/33KV SS Chandrayangutta,50,132/33KV,APEX TRANSFORMERS LTD,T-956A/04,1997,17-09-1997
748,288,220/132/33KV SS Chandrayangutta,50,132/33KV,BHEL,2001967,1983,26-04-1986
749,288,220/132/33KV SS Chandrayangutta,50,132/33KV,TOSHIBA,90175A-01,2015,31-08-2015
750,288,220/132/33KV SS Chandrayangutta,80,132/33KV,BHARAT BIJLEE LTD,5118/2,2009,19-08-2009
751,288,220/132/33KV SS Chandrayangutta,160,220/132KV,TRANSFORMERS & ELECTRICAL LTD,PM0100459,2024,04-07-2024
752,288,220/132/33KV SS Chandrayangutta,160,220/132KV,TRANSFORMERS & RECTIFIERS LTD,PM0100480,2025,30-03-2025
753,288,220/132/33KV SS Chandrayangutta,50,132/33KV,ECE INDUSTRIES LIMITED,87848,2025,14-05-2025
754,289,220/132/33KV SS Kothur(Chegur),80,132/33KV,VIJAI ELECTRICALS LTD,90128A/02,2012,01-10-2020
755,289,220/132/33KV SS Kothur(Chegur),160,220/132KV,BTW ATLANTA TRANSFORMERS,20186T01,2018,01-10-2020
756,289,220/132/33KV SS Kothur(Chegur),160,220/132KV,BTW ATLANTA TRANSFORMERS,20187T01,2019,01-10-2020
757,290,220/132/33KV SS Dichpally,50,132/33KV,BHARAT BIJLEE LTD,5469/30,2012,06-02-2016
758,290,220/132/33KV SS Dichpally,160,220/132KV,VIJAI ELECTRICALS LTD,900105A02,2011,21-08-2011
759,290,220/132/33KV SS Dichpally,160,220/132KV,BHARAT BIJLEE LTD,5471/17,2016,06-04-2016
760,290,220/132/33KV SS Dichpally,100,220/132KV,ALSTOM INSTRUMENT TRANSFORMERS,B-28600,1994,11-04-1995
761,290,220/132/33KV SS Dichpally,160,220/132KV,BHARAT BIJLEE LTD,5595/1,2017,04-12-2017
762,290,220/132/33KV SS Dichpally,80,132/33KV,TRANSFORMERS & RECTIFIERS LTD,PCO 101385,2018,18-08-2018
763,291,220/132/33KV SS Fabcity,50,132/33KV,TRANSFORMERS & RECTIFIERS LTD,PC0100293,2012,12-12-2014
764,291,220/132/33KV SS Fabcity,50,132/33KV,NGEF LTD,6800000046,1987,31-01-1990
765,291,220/132/33KV SS Fabcity,100,220/132KV,TRANSFORMERS & RECTIFIERS LTD,100083,2012,12-12-2014
766,291,220/132/33KV SS Fabcity,100,220/132KV,TRANSFORMERS & RECTIFIERS LTD,PM0100082,2012,21-04-2016
767,291,220/132/33KV SS Fabcity,50,132/33KV,ECE INDUSTRIES LIMITED,87841,2025,14-04-2025
768,292,220/132/33KV SS Gachibowli,50,132/33KV,BHARAT BIJLEE LTD,4957/ 3,2007,23-04-2007
769,292,220/132/33KV SS Gachibowli,160,220/132KV,ABB POWER PRODUCTS AND SYSTEMS,13042-005,2006,20-12-2007
770,292,220/132/33KV SS Gachibowli,160,220/132KV,VIJAI ELECTRICALS LTD,90105A03-2011,2011,24-11-2011
771,292,220/132/33KV SS Gachibowli,80,132/33KV,BHARAT BIJLEE LTD,5610/3,2018,15-04-2018
772,292,220/132/33KV SS Gachibowli,160,220/132KV,BTW ATLANTA TRANSFORMERS,201810T01,2018,24-02-2020
773,292,220/132/33KV SS Gachibowli,160,220/132KV,TRANSFORMERS & RECTIFIERS LTD,PMO100466,2024,17-04-2024
774,292,220/132/33KV SS Gachibowli,80,132/33KV,INDO TECH TRANSFORMERS LTD,ITK-56523/6195,2025,21.06.2025
775,293,220/132/33KV SS Ghanapur,160,220/132KV,SIEMENS LTD,110002/5,2008,27-08-2008
776,293,220/132/33KV SS Ghanapur,100,220/132KV,BHEL,2001754,1983,30-12-1986
777,293,220/132/33KV SS Ghanapur,160,220/132KV,BHARAT BIJLEE LTD,5273/4,2011,26-04-2012
778,293,220/132/33KV SS Ghanapur,50,132/33KV,TRANSFORMERS & RECTIFIERS LTD,PC0101735,2023,25-04-2023
779,293,220/132/33KV SS Ghanapur,80,132/33KV,INDO TECH TRANSFORMERS LTD,ITK-55867,2023,20-01-2024
780,294,220/132/33KVKV SS Husnabad,10/16,132/33KV,NGEF LTD,2800046074,1988,05-02-2024
781,294,220/132/33KVKV SS Husnabad,100,220/132KV,EMCO,HT-1639/12407,2005,05-11-2006
782,294,220/132/33KVKV SS Husnabad,10/16,132/33KV,NGEF LTD,2800031967,1979,05-07-2014
783,295,220/132/33KV SS Huzurnagar,100,220/132KV,BHARAT BIJLEE LTD,5590/09,2018,10-12-2018
784,295,220/132/33KV SS Huzurnagar,100,220/132KV,BHARAT BIJLEE LTD,5590/10,2018,10-12-2018
785,295,220/132/33KV SS Huzurnagar,31.5,132/33KV,ECE INDUSTRIES LIMITED,86762,2017,10-12-2018
786,295,220/132/33KV SS Huzurnagar,31.5,132/33KV,ECE INDUSTRIES LIMITED,86766,2017,10-12-2018
787,296,220/132/33KV SS Kalluru,31.5,132/33KV,BHEL,2037969,2013,29-12-2024
788,296,220/132/33KV SS Kalluru,100,220/132KV,BHARAT BIJLEE LTD,T-5590/04,2017,03-08-2018
789,296,220/132/33KV SS Kalluru,100,220/132KV,BHARAT BIJLEE LTD,T-5590/03,2017,03-08-2018
790,296,220/132/33KV SS Kalluru,31.5,132/33KV,ECE INDUSTRIES LIMITED,S-86776,2017,31-01-2025
791,297,220/132/33KV SS Kosigi,31.5,132/33KV,IMP POWERS LTD,PT-7254,2014,17-12-2014
792,297,220/132/33KV SS Kosigi,100,220/132KV,EMCO,HT1513/12098,2001,22-08-2016
793,297,220/132/33KV SS Kosigi,100,220/132KV,TBEA LTD,15B04074/K0064,2015,04-07-2016
794,297,220/132/33KV SS Kosigi,50,132/33KV,TRANSFORMERS & RECTIFIERS LTD,PC0101739,2023,02-09-2023
